teamNum,District
2898,Pacific Northwest
2900,Chesapeake
2903,Pacific Northwest
2905,Others
2906,Pacific Northwest
2907,Pacific Northwest
2910,Pacific Northwest
2912,Chesapeake
2914,Chesapeake
2915,Pacific Northwest
2916,Others
2926,Pacific Northwest
2927,Pacific Northwest
2928,Pacific Northwest
2929,Pacific Northwest
2930,Pacific Northwest
2935,Ontario
2942,Pacific Northwest
2944,Pacific Northwest
2945,Others
2950,Others
2957,Others
2959,Michigan
2960,Michigan
2961,Chesapeake
2964,Chesapeake
2966,Others
2969,Others
2972,Others
2973,Others
2974,Peachtree
2976,Pacific Northwest
2977,Others
2978,Others
2980,Pacific Northwest
2984,Others
2986,Others
2987,Others
2988,Chesapeake
2989,Others
2990,Pacific Northwest
2992,Others
2993,Others
2994,Ontario
2996,Others
2998,Chesapeake
3000,Others
3003,Others
3004,Others
3005,Others
3006,Others
3007,Others
3008,Others
3009,Others
3010,Others
3011,Others
3013,Others
3015,Others
3017,Others
3018,Others
3019,Others
3021,Others
3023,Others
3024,Pacific Northwest
3026,Others
3028,Others
3029,Others
3034,Israel
3035,Others
3036,Others
3037,Others
3038,Others
3039,Others
3042,Others
3043,Others
3044,Others
3045,Others
3049,Pacific Northwest
3054,Others
3055,Others
3058,Others
3061,Others
3062,Others
3065,Israel
3067,Others
3070,Pacific Northwest
3072,Chesapeake
3075,Israel
3081,Others
3082,Others
3083,Israel
3090,Others
3091,Peachtree
3096,Michigan
3098,Michigan
3100,Others
3102,Others
3103,Others
3104,New England
3110,Others
3117,Others
3120,Others
3122,Others
3128,Others
3130,Others
3131,Pacific Northwest
3132,Others
3133,Others
3134,Others
3136,Chesapeake
3137,Others
3138,Others
3139,Others
3140,Others
3142,Mid-Atlantic
3145,Others
3146,New England
3147,Indiana
3151,Mid-Atlantic
3152,Others
3157,Others
3158,Others
3160,Others
3161,Ontario
3163,Others
3164,Others
3166,Others
3171,Others
3172,Others
3173,Others
3175,Michigan
3176,Indiana
3179,Others
3180,Indiana
3181,Others
3182,New England
3184,Others
3187,Others
3189,Others
3193,Others
3196,North Carolina
3197,Others
3200,Others
3201,Others
3202,Others
3204,Others
3205,New England
3206,Others
3211,Israel
3212,Others
3215,North Carolina
3216,Others
3218,Pacific Northwest
3219,Pacific Northwest
3220,Pacific Northwest
3223,Pacific Northwest
3225,Others
3229,North Carolina
3230,Others
3234,Michigan
3236,New England
3237,Pacific Northwest
3238,Pacific Northwest
3239,Others
3240,Others
3242,Others
3243,Others
3244,Others
3245,Others
3247,Others
3250,Others
3255,Others
3256,Others
3257,Others
3258,Chesapeake
3260,Others
3265,Peachtree
3266,Others
3267,Others
3268,Pacific Northwest
3274,Chesapeake
3275,Others
3276,Others
3277,Others
3278,Others
3282,Others
3284,Others
3288,Others
3289,Others
3291,Others
3292,Others
3293,Others
3294,Others
3295,Others
3297,Others
3298,Others
3299,Others
3300,Others
3302,Michigan
3303,Others
3309,Others
3310,Others
3313,Others
3314,Mid-Atlantic
3316,Israel
3319,Others
3322,Michigan
3323,New England
3324,Others
3328,Others
3329,Peachtree
3330,Others
3335,Others
3336,North Carolina
3337,Others
3339,Israel
3340,Mid-Atlantic
3341,Others
3344,Peachtree
3345,Others
3352,Others
3354,Others
3355,Others
3357,Michigan
3359,Chesapeake
3360,Others
3361,Chesapeake
3366,Others
3367,Others
3370,Others
3373,Chesapeake
3374,Others
3379,Others
3381,Others
3386,Others
3387,Others
3388,Israel
3389,Chesapeake
3390,Others
3393,Pacific Northwest
3397,Others
3398,Michigan
3402,North Carolina
3405,Others
3407,Others
3408,Others
3410,Others
3414,Michigan
3418,Others
3419,Others
3451,New England
3452,Michigan
3453,Others
3454,Others
3455,Chesapeake
3457,Others
3458,Michigan
3459,North Carolina
3461,New England
3464,New England
3465,Others
3466,New England
3467,New England
3468,Others
3470,Others
3472,Others
3473,Others
3476,Others
3478,Others
3480,Others
3481,Others
3482,Others
3484,Others
3487,Indiana
3488,Others
3489,Others
3490,Others
3491,Others
3492,Others
3494,Indiana
3495,Others
3498,Others
3499,New England
3501,Others
3504,Others
3506,North Carolina
3507,Others
3510,Others
3511,Others
3512,Others
3513,Others
3515,Mid-Atlantic
3522,Others
3525,New England
3526,Others
3527,Others
3532,Others
3533,Others
3534,Michigan
3535,Michigan
3536,Michigan
3537,Michigan
3538,Michigan
3539,Michigan
3542,Michigan
3543,Ontario
3544,Others
3545,Others
3546,Michigan
3547,Michigan
3550,Others
3555,New England
3556,Others
3559,Indiana
3560,Ontario
3562,Others
3566,New England
3568,Michigan
3570,Michigan
3571,Ontario
3572,Michigan
3573,Peachtree
3574,Pacific Northwest
3575,Pacific Northwest
3577,Others
3581,Peachtree
3586,Pacific Northwest
3588,Pacific Northwest
3591,Others
3593,Others
3596,Others
3597,New England
3598,Others
3602,Michigan
3603,Michigan
3604,Michigan
3606,Others
3609,New England
3610,Others
3612,Others
3615,Others
3616,Others
3617,Michigan
3618,Michigan
3619,Michigan
3620,Michigan
3623,New England
3624,Others
3627,Others
3630,Others
3632,Michigan
3633,Others
3634,New England
3635,Peachtree
3636,Pacific Northwest
3637,Mid-Atlantic
3641,Michigan
3646,Others
3647,Others
3648,Others
3650,Chesapeake
3651,Others
3653,Others
3654,New England
3655,Michigan
3656,Michigan
3658,Michigan
3660,Others
3661,North Carolina
3663,Pacific Northwest
3667,Michigan
3668,Michigan
3669,Others
3673,Pacific Northwest
3674,Pacific Northwest
3676,Others
3679,Others
3680,North Carolina
3683,Ontario
3684,Pacific Northwest
3688,Michigan
3691,Others
3692,Others
3693,Pacific Northwest
3694,Peachtree
3695,Others
3704,Others
3707,Michigan
3711,Pacific Northwest
3712,Pacific Northwest
3714,Chesapeake
3719,New England
3721,Others
3723,Others
3728,Others
3729,Others
3734,Others
3735,Others
3737,North Carolina
3739,Ontario
3740,Others
3743,Others
3745,Others
3748,Chesapeake
3749,Others
3750,Others
3751,Others
3753,Others
3754,Others
3755,Others
3756,Ontario
3759,Others
3760,Others
3767,Michigan
3770,Michigan
3773,Michigan
3777,Others
3785,Others
3786,Pacific Northwest
3792,Others
3793,Chesapeake
3794,Others
3796,North Carolina
3799,Others
3800,Others
3802,Others
3807,Others
3812,Pacific Northwest
3814,Others
3815,Peachtree
3821,Others
3822,North Carolina
3824,Others
3826,Pacific Northwest
3834,Others
3835,Israel
3838,Others
3839,Others
3840,Others
3843,Others
3844,Others
3845,North Carolina
3847,Others
3848,Others
3851,Others
3853,Others
3859,Others
3863,Others
3865,Indiana
3871,Others
3875,Michigan
3876,Pacific Northwest
3878,Others
3880,Others
3881,Others
3882,Others
3883,Others
3925,Others
3926,Others
3928,Others
3929,Mid-Atlantic
3930,New England
3931,Others
3932,Others
3933,Others
3936,Indiana
3937,Others
3939,Chesapeake
3940,Indiana
3941,Chesapeake
3944,Others
3946,Others
3947,Indiana
3950,Others
3951,Others
3952,Others
3953,Others
3954,Others
3955,Others
3957,Others
3958,New England
3959,Others
3965,Others
3966,Others
3970,Others
3974,Mid-Atlantic
3975,Others
3976,Others
3981,Others
3984,Others
3985,Others
3986,Others
3988,Others
3990,Others
3991,Others
3993,Others
3996,Others
3997,Others
3998,Peachtree
3999,Others
4001,Ontario
4003,Michigan
4004,Michigan
4005,Others
4006,Others
4008,Indiana
4009,Others
4010,Others
4011,Others
4012,Others
4013,Others
4014,Others
4015,Ontario
4019,Others
4020,Others
4021,Others
4023,Others
4024,Others
4026,Peachtree
4027,Others
4028,Others
4034,New England
4035,Mid-Atlantic
4039,Ontario
4041,New England
4042,New England
4043,Pacific Northwest
4048,New England
4049,Others
4050,Others
4051,Pacific Northwest
4053,Others
4054,Others
4055,New England
4056,Others
4057,Pacific Northwest
4060,Pacific Northwest
4061,Pacific Northwest
4063,Others
4064,Others
4065,Others
4068,Others
4069,Ontario
4073,Others
4074,Others
4075,Others
4076,Others
4077,Pacific Northwest
4078,Others
4079,Others
4080,Peachtree
4083,Others
4085,Others
4087,Others
4089,Pacific Northwest
4091,Others
4093,Others
4096,Others
4097,New England
4099,Chesapeake
4103,Indiana
4104,Pacific Northwest
4107,Others
4110,Pacific Northwest
4111,Others
4112,Peachtree
4114,Others
4118,Others
4119,Others
4120,Pacific Northwest
4121,Others
4122,Others
4123,Others
4125,Pacific Northwest
4127,Pacific Northwest
4130,Michigan
4131,Pacific Northwest
4132,Pacific Northwest
4135,Others
4137,Chesapeake
4139,Others
4141,Others
4143,Others
4145,Others
4146,Others
4150,Others
4151,New England
4152,Ontario
4153,Others
4156,Others
4159,Others
4160,Others
4161,Others
4166,Others
4169,New England
4171,Others
4173,Pacific Northwest
4174,Others
4175,Others
4176,New England
4179,Others
4180,Pacific Northwest
4181,Others
4182,Others
4183,Others
4186,Others
4187,Others
4188,Peachtree
4189,Peachtree
4191,Others
4192,Others
4193,Peachtree
4195,Peachtree
4198,Others
4201,Others
4203,Others
4205,Pacific Northwest
4206,Others
4207,Others
4209,Others
4212,Others
4213,Others
4215,Others
4216,Michigan
4217,Others
4219,Others
4225,Others
4226,Others
4229,Others
4230,Others
4232,Others
4235,Peachtree
4237,Michigan
4238,Others
4239,Others
4240,Peachtree
4241,Others
4242,Chesapeake
4243,Others
4246,Others
4247,Others
4248,Ontario
4252,Ontario
4253,Others
4255,Others
4256,Others
4260,Others
4262,Others
4263,Others
4264,Others
4265,Others
4267,Others
4269,Others
4270,Others
4272,Indiana
4276,Others
4277,Others
4281,Mid-Atlantic
4283,Others
4284,Others
4285,Mid-Atlantic
4286,Chesapeake
4290,North Carolina
4291,North Carolina
4292,Others
4293,Others
4295,Others
4296,Others
4299,Others
4301,Others
4306,Others
4308,Ontario
4309,Pacific Northwest
4311,New England
4314,Others
4319,Israel
4320,Israel
4322,Others
4325,Michigan
4327,Michigan
4328,Others
4329,Others
4330,Others
4332,Others
4334,Others
4335,Others
4336,Others
4337,Michigan
4338,Israel
4342,Mid-Atlantic
4343,Ontario
4348,Others
4353,Others
4355,Others
4356,Others
4360,Others
4361,Mid-Atlantic
4362,Michigan
4364,Others
4371,Others
4373,Mid-Atlantic
4375,Michigan
4376,Michigan
4377,Michigan
4378,Others
4380,Michigan
4381,Michigan
4382,Michigan
4383,Others
4384,Michigan
4386,Others
4388,Others
4390,Michigan
4391,Michigan
4392,Michigan
4395,Michigan
4397,Others
4398,Michigan
4400,Others
4401,Others
4403,Others
4405,Michigan
4408,Michigan
4409,Michigan
4412,Others
4415,Others
4416,Israel
4418,Others
4450,Pacific Northwest
4451,Others
4453,Michigan
4454,Mid-Atlantic
4455,Others
4456,Chesapeake
4458,Others
4459,Peachtree
4461,Pacific Northwest
4462,Others
4464,Chesapeake
4466,Chesapeake
4467,Others
4468,Peachtree
4469,Pacific Northwest
4470,Others
4471,Others
4472,Chesapeake
4473,New England
4476,Ontario
4480,Others
4481,Others
4482,Michigan
4485,Indiana
4486,Others
4488,Pacific Northwest
4495,Pacific Northwest
4496,Others
4499,Others
4500,Others
4501,Others
4504,Others
4505,Chesapeake
4506,Others
4508,Others
4509,Peachtree
4511,Others
4512,Pacific Northwest
4513,Pacific Northwest
4514,Chesapeake
4516,Peachtree
4519,Ontario
4521,Others
4522,Others
4523,Others
4525,Ontario
4528,Others
4531,Others
4533,Others
4534,North Carolina
4536,Others
4537,Others
4539,Others
4541,Chesapeake
4546,New England
4547,Others
4549,Others
4550,Others
4555,New England
4557,New England
4561,North Carolina
4562,Others
4564,New England
4565,Others
4567,Others
4568,Michigan
4571,Others
4572,New England
4573,Mid-Atlantic
4575,Mid-Atlantic
4576,Others
4578,Others
4579,Pacific Northwest
4580,Indiana
4582,Others
4583,Others
4584,Others
4585,Others
4586,Israel
4587,Others
4590,Israel
4592,Others
4593,Others
4594,Others
4595,Ontario
4597,Others
4598,Others
4600,Others
4601,Others
4603,Others
4604,Others
4607,Others
4608,Pacific Northwest
4610,Others
4611,Others
4613,Others
4614,Others
4616,Others
4618,Ontario
4619,Others
4622,Others
4623,Others
4624,Others
4625,Others
4626,Others
4627,Others
4630,Others
4632,Others
4635,Others
4637,Mid-Atlantic
4638,Chesapeake
4639,Others
4640,Others
4641,Others
4643,Others
4645,Others
4646,Others
4648,Others
4649,Israel
4652,Pacific Northwest
4653,Mid-Atlantic
4655,Others
4656,Others
4661,Israel
4662,Pacific Northwest
4663,Others
4664,Others
4665,Others
4669,Others
4674,Others
4678,Ontario
4680,Michigan
4681,Pacific Northwest
4682,Pacific Northwest
4683,Pacific Northwest
4688,Ontario
4692,Pacific Northwest
4693,Others
4694,Others
4698,Others
4701,Peachtree
4702,Others
4704,Ontario
4707,Others
4711,Others
4715,Michigan
4717,Others
4723,Others
4726,Pacific Northwest
4728,Others
4729,Others
4730,Peachtree
4731,Others
4733,Others
4734,Others
4735,Others
4737,Michigan
4738,Others
4739,Others
4740,Others
4741,Others
4744,Israel
4746,Others
4748,Others
4749,Peachtree
4750,Mid-Atlantic
4757,Israel
4758,Michigan
4761,New England
4762,Others
4763,Others
4764,Others
4765,Others
4767,North Carolina
4768,Michigan
4769,Others
4773,Others
4774,Others
4775,Others
4776,Michigan
4777,Ontario
4778,Others
4779,Michigan
4780,Others
4782,Others
4783,Ontario
4784,Israel
4786,Others
4787,Others
4792,Others
4795,North Carolina
4796,New England
4799,Others
4801,Others
4802,Others
4804,Others
4809,Others
4810,Michigan
4811,Michigan
4814,Ontario
4815,Michigan
4816,North Carolina
4817,Others
4818,Others
4819,Michigan
4821,Chesapeake
4823,Others
4827,Michigan
4828,North Carolina
4829,North Carolina
4835,Michigan
4838,Michigan
4840,Michigan
4845,Others
4847,Others
4851,Michigan
4854,Michigan
4855,Michigan
4856,Others
4859,Others
